Country Name,Capital,Currency
Andorra,Andorra la Vella,EUR
United Arab Emirates,Abu Dhabi,AED
Afghanistan,Kabul,AFN
Antigua and Barbuda,Saint John's,XCD
Anguilla,The Valley,XCD
Albania,Tirana,ALL
Armenia,Yerevan,AMD
Angola,Luanda,AOA
Antarctica,,
Argentina,Buenos Aires,ARS
American Samoa,Pago Pago,USD
Austria,Vienna,EUR
Australia,Canberra,AUD
Aruba,Oranjestad,AWG
Åland,Mariehamn,EUR
Azerbaijan,Baku,AZN
Bosnia and Herzegovina,Sarajevo,BAM
Barbados,Bridgetown,BBD
Bangladesh,Dhaka,BDT
Belgium,Brussels,EUR
Burkina Faso,Ouagadougou,XOF
Bulgaria,Sofia,BGN
Bahrain,Manama,BHD
Burundi,Bujumbura,BIF
Benin,Porto-Novo,XOF
Saint Barthélemy,Gustavia,EUR
Bermuda,Hamilton,BMD
Brunei,Bandar Seri Begawan,BND
Bolivia,Sucre,"BOB,BOV"
Bonaire,Kralendijk,USD
Brazil,Brasília,BRL
Bahamas,Nassau,BSD
Bhutan,Thimphu,"BTN,INR"
Bouvet Island,,NOK
Botswana,Gaborone,BWP
Belarus,Minsk,BYN
Belize,Belmopan,BZD
Canada,Ottawa,CAD
Cocos [Keeling] Islands,West Island,AUD
Democratic Republic of the Congo,Kinshasa,CDF
Central African Republic,Bangui,XAF
Republic of the Congo,Brazzaville,XAF
Switzerland,Bern,"CHE,CHF,CHW"
Ivory Coast,Yamoussoukro,XOF
Cook Islands,Avarua,NZD
Chile,Santiago,"CLF,CLP"
Cameroon,Yaoundé,XAF
China,Beijing,CNY
Colombia,Bogotá,COP
Costa Rica,San José,CRC
Cuba,Havana,"CUC,CUP"
Cape Verde,Praia,CVE
Curacao,Willemstad,ANG
Christmas Island,Flying Fish Cove,AUD
Cyprus,Nicosia,EUR
Czech Republic,Prague,CZK
Germany,Berlin,EUR
Djibouti,Djibouti,DJF
Denmark,Copenhagen,DKK
Dominica,Roseau,XCD
Dominican Republic,Santo Domingo,DOP
Algeria,Algiers,DZD
Ecuador,Quito,USD
Estonia,Tallinn,EUR
Egypt,Cairo,EGP
Western Sahara,El Aaiún,"MAD,DZD,MRU"
Eritrea,Asmara,ERN
Spain,Madrid,EUR
Ethiopia,Addis Ababa,ETB
Finland,Helsinki,EUR
Fiji,Suva,FJD
Falkland Islands,Stanley,FKP
Micronesia,Palikir,USD
Faroe Islands,Tórshavn,DKK
France,Paris,EUR
Gabon,Libreville,XAF
